id,product_name,product_category_id,product_category_name,product_type_numeric,product_type_text,product_manufacturer_id,product_manufacturer_name
512842,Layers Mash,318,Feeds,1.0,kg,608.0,Lucky Feeds
513291,Layers Mash,313,Minerals and Supplements,70.0,kg,2314.0,Mapato Feeds
514788,Layers Mash,318,Feeds,10.0,kg,5311.0,murimi feeds
514789,Layers Mash,318,Feeds,1.0,kg,5311.0,murimi feeds
514845,Layers Mash,318,Feeds,5.0,kg,25878.0,Meru Central Ltd
515152,Layers Mash,318,Feeds,70.0,Kg,23567.0,Topbreed feeds
515153,Layers Mash,318,Feeds,10.0,Kg,23567.0,Topbreed feeds
515166,Layers Mash,318,Feeds,70.0,Kg,728.0,Joy Millers
515268,Layers Mash,318,Feeds,10.0,kg,13049.0,Shikamoo Feeds
515309,Layers Mash,318,Feeds,70.0,kg,13520.0,Lizpo Feeds
515310,Layers Mash,318,Feeds,10.0,kg,13520.0,Lizpo Feeds
515311,Layers Mash,318,Feeds,5.0,kg,13520.0,Lizpo Feeds
515341,Layers Mash,318,Feeds,70.0,kg,4284.0,pioneer feeds
515342,Layers Mash,318,Feeds,20.0,kg,4284.0,pioneer feeds
515343,Layers Mash,318,Feeds,10.0,kg,4284.0,pioneer feeds
515717,Layers Mash,318,Feeds,10.0,kg,25906.0,Modern Feeds Ltd
515718,Layers Mash,318,Feeds,5.0,kg,25906.0,Modern Feeds Ltd
515734,Layers Mash,318,Feeds,1.0,kg,196.0,Local
515940,Layers Mash,318,Feeds,20.0,kgs,2730.0,Modern Feeds
516106,Layers Mash,318,Feeds,10.0,kg,4289.0,Midline
516164,Layers Mash,318,Feeds,10.0,kg,37.0,Unga Farmcare (EA) Ltd.
516177,Layers Mash,318,Feeds,10.0,kg,2730.0,Modern Feeds
516178,Layers Mash,318,Feeds,5.0,kg,2730.0,Modern Feeds
516315,Layers Mash,318,Feeds,1.0,kg,196.0,Local
516472,layers mash,318,Feeds,20.0,kg,20001.0,Equity millers
516519,Layers Mash,318,Feeds,5.0,kg,2543.0,Mbeki
516520,Layers Mash,318,Feeds,10.0,kg,2543.0,Mbeki
516521,Layers Mash,318,Feeds,70.0,kg,3408.0,ngombemix
516522,Layers Mash,318,Feeds,10.0,kg,3408.0,ngombemix
516712,Layers Mash,318,Feeds,1.0,kg,3408.0,ngombemix
517278,Layers Mash,318,Feeds,10.0,Kg,2314.0,Mapato Feeds
517279,Layers Mash,318,Feeds,5.0,Kg,2314.0,Mapato Feeds
517340,Layers Mash,318,Feeds,10.0,Kg,4289.0,Midline
517384,Layers Mash,318,Feeds,1.0,kg,4289.0,Midline
518127,Layers Mash,318,Feeds,1.0,kg,2266.0,Soca Animal Feeds Ltd
518221,Layers Mash,318,Feeds,70.0,kg,2266.0,Soca Animal Feeds Ltd
518222,Layers Mash,318,Feeds,50.0,kg,2266.0,Soca Animal Feeds Ltd
518705,Layers Mash,318,Feeds,70.0,kg,354.0,Tembo
518878,Layers Mash,318,Feeds,10.0,kg,26049.0,Highranch
519028,Layers Mash,313,Minerals and Supplements,50.0,kg,2853.0,Kitale Industries Ltd
519299,Layers Mash,318,Feeds,5.0,kg,26083.0,Royol Animal Feeds Ltd
519784,layers mash,318,Feeds,70.0,kg,26091.0,fresh feeds
520988,Layers Mash,318,Feeds,1.0,kg,26135.0,kays nakuru
521031,Layers Mash,318,Feeds,5.0,kg,26135.0,kays nakuru
521090,Layers Mash,318,Feeds,20.0,kg,731.0,Kays
521091,Layers Mash,318,Feeds,10.0,kg,731.0,Kays
521092,Layers Mash,318,Feeds,5.0,kg,731.0,Kays
521093,Layers Mash,318,Feeds,70.0,kg,731.0,Kays
